capital,funcao,ano,valor_empenhado,valor_pago,taxa_execucao_pct
Prefeitura Municipal de Rio Branco - AC,12 - Educação,2024,338125234.01,338125234.01,100.0
Prefeitura Municipal de Fortaleza - CE,12 - Educação,2024,2902010374.29,2881019379.76,99.3
Prefeitura Municipal de Recife - PE,12 - Educação,2024,1756409214.12,1733169124.07,98.7
Prefeitura Municipal de Manaus - AM,12 - Educação,2024,2709057205.9,2664634072.18,98.4
Prefeitura Municipal de Palmas - TO,12 - Educação,2024,618624512.44,605359691.88,97.9
Prefeitura Municipal de Aracaju - SE,12 - Educação,2024,543543946.0,530480659.42,97.6
Prefeitura Municipal de Salvador - BA,12 - Educação,2024,2563728667.89,2498360333.28,97.5
Prefeitura Municipal de Boa Vista - RR,12 - Educação,2024,676413526.63,657546410.76,97.2
Prefeitura Municipal de Macapá - AP,12 - Educação,2024,468206157.49,450811306.25,96.3
Prefeitura Municipal de Florianópolis - SC,12 - Educação,2024,875193309.19,840749208.12,96.1
Prefeitura Municipal de São Paulo - SP,12 - Educação,2024,23290435795.57,22301640088.44,95.8
Prefeitura Municipal de Belém - PA,12 - Educação,2024,904724179.69,860312628.95,95.1
Prefeitura Municipal de Porto Velho - RO,12 - Educação,2024,595239242.74,562896452.2,94.6
Prefeitura Municipal de Goiânia - GO,12 - Educação,2024,1827409897.15,1717145321.53,94.0
Prefeitura Municipal de Cuiabá - MT,12 - Educação,2024,761071796.76,706813377.65,92.9
Prefeitura Municipal de Campo Grande - MS,12 - Educação,2024,1444204430.42,1331907104.3,92.2
Prefeitura Municipal de Vitória - ES,12 - Educação,2024,805765334.24,740591170.17,91.9
Prefeitura Municipal de Porto Alegre - RS,12 - Educação,2024,1115925346.24,1018056039.67,91.2
Prefeitura Municipal de Teresina - PI,12 - Educação,2024,971605561.5,883569386.64,90.9
Prefeitura Municipal do Rio de Janeiro - RJ,12 - Educação,2024,7151238932.58,6475560709.52,90.6
Prefeitura Municipal de Belo Horizonte - MG,12 - Educação,2024,3347105213.17,3023311311.88,90.3
Prefeitura Municipal de Curitiba - PR,12 - Educação,2024,2274859448.85,2046785327.24,90.0
Prefeitura Municipal de João Pessoa - PB,12 - Educação,2024,900936350.21,785470986.59,87.2
Prefeitura Municipal de Maceió - AL,12 - Educação,2024,803988514.26,687560500.43,85.5
Prefeitura Municipal de São Luís - MA,12 - Educação,2024,1294287600.87,1017519651.53,78.6
Prefeitura Municipal de Natal - RN,12 - Educação,2024,771299063.81,576263140.18,74.7
Prefeitura Municipal de Porto Velho - RO,13 - Cultura,2024,20928380.19,20928380.19,100.0
Prefeitura Municipal de Belém - PA,13 - Cultura,2024,21531198.83,21079226.65,97.9
Prefeitura Municipal de Aracaju - SE,13 - Cultura,2024,25879895.15,25168119.3,97.2
Prefeitura Municipal de Recife - PE,13 - Cultura,2024,208601638.34,201027489.41,96.4
Prefeitura Municipal de Teresina - PI,13 - Cultura,2024,32221953.5,30916258.54,95.9
Prefeitura Municipal de Salvador - BA,13 - Cultura,2024,87727128.68,83592975.78,95.3
Prefeitura Municipal de Rio Branco - AC,13 - Cultura,2024,12774843.77,12139403.25,95.0
Prefeitura Municipal de Macapá - AP,13 - Cultura,2024,50834203.78,47760771.85,94.0
Prefeitura Municipal de Curitiba - PR,13 - Cultura,2024,121282112.46,113805076.83,93.8
Prefeitura Municipal do Rio de Janeiro - RJ,13 - Cultura,2024,277717370.22,259884490.91,93.6
Prefeitura Municipal de Fortaleza - CE,13 - Cultura,2024,153537915.93,143168240.2,93.2
Prefeitura Municipal de Manaus - AM,13 - Cultura,2024,142502730.65,132460091.15,93.0
Prefeitura Municipal de Palmas - TO,13 - Cultura,2024,22519984.89,20518193.49,91.1
Prefeitura Municipal de São Paulo - SP,13 - Cultura,2024,1142344179.63,1033316515.82,90.5
Prefeitura Municipal de Boa Vista - RR,13 - Cultura,2024,62834759.18,56043351.85,89.2
Prefeitura Municipal de Porto Alegre - RS,13 - Cultura,2024,69016564.2,61202403.7,88.7
Prefeitura Municipal de Cuiabá - MT,13 - Cultura,2024,32860881.41,28568418.56,86.9
Prefeitura Municipal de Campo Grande - MS,13 - Cultura,2024,25591433.66,22155941.55,86.6
Prefeitura Municipal de João Pessoa - PB,13 - Cultura,2024,33061920.28,27929428.75,84.5
Prefeitura Municipal de Belo Horizonte - MG,13 - Cultura,2024,122253042.97,101992125.2,83.4
Prefeitura Municipal de Maceió - AL,13 - Cultura,2024,86060654.94,70896312.38,82.4
Prefeitura Municipal de São Luís - MA,13 - Cultura,2024,108967001.46,87900667.25,80.7
Prefeitura Municipal de Goiânia - GO,13 - Cultura,2024,5083236.95,4032134.05,79.3
Prefeitura Municipal de Florianópolis - SC,13 - Cultura,2024,29657314.46,21124507.75,71.2
Prefeitura Municipal de Vitória - ES,13 - Cultura,2024,29709444.12,21043718.77,70.8
Prefeitura Municipal de Natal - RN,13 - Cultura,2024,81253783.67,56580941.68,69.6
