capital,funcao,populacao,total_pago,gasto_per_capita
Prefeitura Municipal de Natal - RN,12 - Educação,751932,576263140.18,766.38
Prefeitura Municipal de Porto Alegre - RS,12 - Educação,1404269,1018056039.67,724.97
Prefeitura Municipal de Maceió - AL,12 - Educação,960667,687560500.43,715.71
Prefeitura Municipal de Belém - PA,12 - Educação,1367336,860312628.95,629.19
Prefeitura Municipal de Boa Vista - RR,13 - Cultura,408157,56043351.85,137.31
Prefeitura Municipal de Recife - PE,13 - Cultura,1494586,201027489.41,134.5
Prefeitura Municipal de Macapá - AP,13 - Cultura,478448,47760771.85,99.82
Prefeitura Municipal de São Paulo - SP,13 - Cultura,12200180,1033316515.82,84.7
Prefeitura Municipal de São Luís - MA,13 - Cultura,1061374,87900667.25,82.82
Prefeitura Municipal de Natal - RN,13 - Cultura,751932,56580941.68,75.25
Prefeitura Municipal de Maceió - AL,13 - Cultura,960667,70896312.38,73.8
Prefeitura Municipal de Manaus - AM,13 - Cultura,2054731,132460091.15,64.47
Prefeitura Municipal de Vitória - ES,13 - Cultura,331785,21043718.77,63.43
Prefeitura Municipal de Palmas - TO,13 - Cultura,334454,20518193.49,61.35
Prefeitura Municipal de Curitiba - PR,13 - Cultura,1871789,113805076.83,60.8
Prefeitura Municipal de Fortaleza - CE,13 - Cultura,2596157,143168240.2,55.15
Prefeitura Municipal de Porto Velho - RO,13 - Cultura,461748,20928380.19,45.32
Prefeitura Municipal de Porto Alegre - RS,13 - Cultura,1404269,61202403.7,43.58
Prefeitura Municipal de Belo Horizonte - MG,13 - Cultura,2392678,101992125.2,42.63
Prefeitura Municipal de Aracaju - SE,13 - Cultura,605309,25168119.3,41.58
Prefeitura Municipal de Cuiabá - MT,13 - Cultura,694244,28568418.56,41.15
Prefeitura Municipal do Rio de Janeiro - RJ,13 - Cultura,6625849,259884490.91,39.22
Prefeitura Municipal de Florianópolis - SC,13 - Cultura,574200,21124507.75,36.79
Prefeitura Municipal de Teresina - PI,13 - Cultura,868523,30916258.54,35.6
Prefeitura Municipal de Rio Branco - AC,13 - Cultura,364368,12139403.25,33.32
Prefeitura Municipal de Salvador - BA,13 - Cultura,2610987,83592975.78,32.02
Prefeitura Municipal de João Pessoa - PB,13 - Cultura,889618,27929428.75,31.39
Prefeitura Municipal de Campo Grande - MS,13 - Cultura,942140,22155941.55,23.52
Prefeitura Municipal de Belém - PA,13 - Cultura,1367336,21079226.65,15.42
Prefeitura Municipal de Goiânia - GO,13 - Cultura,1414483,4032134.05,2.85
Prefeitura Municipal de Recife - PE,14 - Direitos da Cidadania,1494586,128291315.95,85.84
Prefeitura Municipal de São Paulo - SP,14 - Direitos da Cidadania,12200180,674748049.25,55.31
Prefeitura Municipal de Campo Grande - MS,14 - Direitos da Cidadania,942140,25981517.16,27.58
Prefeitura Municipal de Vitória - ES,14 - Direitos da Cidadania,331785,7876607.59,23.74
Prefeitura Municipal de Belo Horizonte - MG,14 - Direitos da Cidadania,2392678,50133853.63,20.95
Prefeitura Municipal de Manaus - AM,14 - Direitos da Cidadania,2054731,37652497.05,18.32
Prefeitura Municipal de Fortaleza - CE,14 - Direitos da Cidadania,2596157,47293386.28,18.22
Prefeitura Municipal do Rio de Janeiro - RJ,14 - Direitos da Cidadania,6625849,101080405.8,15.26
Prefeitura Municipal de Salvador - BA,14 - Direitos da Cidadania,2610987,34613772.77,13.26
Prefeitura Municipal de Palmas - TO,14 - Direitos da Cidadania,334454,4221534.19,12.62
Prefeitura Municipal de Porto Alegre - RS,14 - Direitos da Cidadania,1404269,17329187.56,12.34
Prefeitura Municipal de Maceió - AL,14 - Direitos da Cidadania,960667,11587809.3,12.06
Prefeitura Municipal de Goiânia - GO,14 - Direitos da Cidadania,1414483,14677299.1,10.38
Prefeitura Municipal de João Pessoa - PB,14 - Direitos da Cidadania,889618,8348061.77,9.38
Prefeitura Municipal de São Luís - MA,14 - Direitos da Cidadania,1061374,8498259.81,8.01
Prefeitura Municipal de Cuiabá - MT,14 - Direitos da Cidadania,694244,5193275.7,7.48
Prefeitura Municipal de Macapá - AP,14 - Direitos da Cidadania,478448,3105397.56,6.49
Prefeitura Municipal de Rio Branco - AC,14 - Direitos da Cidadania,364368,1286864.21,3.53
Prefeitura Municipal de Boa Vista - RR,14 - Direitos da Cidadania,408157,1275690.92,3.13
Prefeitura Municipal de Florianópolis - SC,14 - Direitos da Cidadania,574200,1616826.34,2.82
Prefeitura Municipal de Aracaju - SE,14 - Direitos da Cidadania,605309,1070855.78,1.77
Prefeitura Municipal de Teresina - PI,14 - Direitos da Cidadania,868523,1532048.97,1.76
Prefeitura Municipal de Curitiba - PR,14 - Direitos da Cidadania,1871789,807681.41,0.43
Prefeitura Municipal de Belém - PA,14 - Direitos da Cidadania,1367336,211600.0,0.15
Prefeitura Municipal de Vitória - ES,15 - Urbanismo,331785,566316104.05,1706.88
Prefeitura Municipal de Rio Branco - AC,15 - Urbanismo,364368,437294307.95,1200.14
Prefeitura Municipal de Recife - PE,15 - Urbanismo,1494586,1615459431.59,1080.87
Prefeitura Municipal de Manaus - AM,15 - Urbanismo,2054731,2207730707.15,1074.46
Prefeitura Municipal de Salvador - BA,15 - Urbanismo,2610987,2628687028.0,1006.78
Prefeitura Municipal de São Paulo - SP,15 - Urbanismo,12200180,10203722086.42,836.36
Prefeitura Municipal de Natal - RN,15 - Urbanismo,751932,621467094.73,826.49
Prefeitura Municipal de Boa Vista - RR,15 - Urbanismo,408157,323196710.84,791.84
Prefeitura Municipal de Teresina - PI,15 - Urbanismo,868523,658866511.86,758.61
Prefeitura Municipal de Palmas - TO,15 - Urbanismo,334454,243468149.28,727.96
Prefeitura Municipal do Rio de Janeiro - RJ,15 - Urbanismo,6625849,4398162807.02,663.79
Prefeitura Municipal de Maceió - AL,15 - Urbanismo,960667,621941177.29,647.41
Prefeitura Municipal de Macapá - AP,15 - Urbanismo,478448,306169969.28,639.92
Prefeitura Municipal de Aracaju - SE,15 - Urbanismo,605309,341095595.9,563.51
Prefeitura Municipal de Porto Velho - RO,15 - Urbanismo,461748,259121674.85,561.18
Prefeitura Municipal de Fortaleza - CE,15 - Urbanismo,2596157,1446782353.47,557.28
Prefeitura Municipal de Curitiba - PR,15 - Urbanismo,1871789,982059804.58,524.66
Prefeitura Municipal de São Luís - MA,15 - Urbanismo,1061374,554153799.19,522.11
Prefeitura Municipal de Campo Grande - MS,15 - Urbanismo,942140,461440758.67,489.78
Prefeitura Municipal de João Pessoa - PB,15 - Urbanismo,889618,421060615.74,473.3
Prefeitura Municipal de Florianópolis - SC,15 - Urbanismo,574200,269141057.25,468.72
Prefeitura Municipal de Belo Horizonte - MG,15 - Urbanismo,2392678,944967850.93,394.94
Prefeitura Municipal de Cuiabá - MT,15 - Urbanismo,694244,269589023.99,388.32
Prefeitura Municipal de Belém - PA,15 - Urbanismo,1367336,430372275.36,314.75
Prefeitura Municipal de Porto Alegre - RS,15 - Urbanismo,1404269,297214100.2,211.65
Prefeitura Municipal de Goiânia - GO,15 - Urbanismo,1414483,81471549.39,57.6
Prefeitura Municipal de São Paulo - SP,16 - Habitação,12200180,4760425320.14,390.19
Prefeitura Municipal de Aracaju - SE,16 - Habitação,605309,79823795.79,131.87
Prefeitura Municipal de Belém - PA,16 - Habitação,1367336,163200314.55,119.36
Prefeitura Municipal de João Pessoa - PB,16 - Habitação,889618,86373720.69,97.09
Prefeitura Municipal de Belo Horizonte - MG,16 - Habitação,2392678,147091418.19,61.48
Prefeitura Municipal de Salvador - BA,16 - Habitação,2610987,114298168.23,43.78
Prefeitura Municipal de Porto Alegre - RS,16 - Habitação,1404269,48133817.55,34.28
Prefeitura Municipal de Vitória - ES,16 - Habitação,331785,11144098.02,33.59
Prefeitura Municipal de Campo Grande - MS,16 - Habitação,942140,29452267.64,31.26
Prefeitura Municipal do Rio de Janeiro - RJ,16 - Habitação,6625849,196156560.8,29.6
Prefeitura Municipal de Goiânia - GO,16 - Habitação,1414483,40547203.57,28.67
Prefeitura Municipal de Palmas - TO,16 - Habitação,334454,8620884.81,25.78
Prefeitura Municipal de Cuiabá - MT,16 - Habitação,694244,14066158.85,20.26
Prefeitura Municipal de Teresina - PI,16 - Habitação,868523,14697268.11,16.92
Prefeitura Municipal de Fortaleza - CE,16 - Habitação,2596157,40831439.21,15.73
Prefeitura Municipal de Rio Branco - AC,16 - Habitação,364368,4567163.87,12.53
Prefeitura Municipal de Curitiba - PR,16 - Habitação,1871789,21807627.41,11.65
